file_path,url,h1,title,meta_description,canonical,folder,has_ga4,has_sitewide_css
about-us.html,https://rubinoxmetal.com/about-us.html,About Rubinox Metal and Alloys,About Rubinox Metal and Alloys | Industrial Metal Supplier in India,"Learn about Rubinox Metal and Alloys, a Mumbai-based stockist, supplier, importer, exporter and project supplier for stainless steel, nickel alloys and industrial metals."" /> <meta name=""robots"" content=""index,follow"" /> <link rel=""canonical"" href=""https://rubinoxmetal.com/about-us.html"" /> <meta property=""og:locale"" content=""en_IN"" /> <meta property=""og:type"" content=""website"" /> <meta property=""og:site_name"" content=""Rubinox Metal and Alloys"" /> <meta property=""og:title"" content=""About Rubinox Metal and Alloys | Industrial Metal Supplier in India"" /> <meta property=""og:description"" content=""Learn about Rubinox Metal and Alloys, a Mumbai-based stockist, supplier, importer, exporter and project supplier for stainless steel, nickel alloys and industrial metals."" /> <meta property=""og:url"" content=""https://rubinoxmetal.com/about-us.html"" /> <meta property=""og:image"" content=""https://rubinoxmetal.com/assets/rubinox-social-preview-2026.jpg"" /> <meta property=""og:image:secure_url"" content=""https://rubinoxmetal.com/assets/rubinox-social-preview-2026.jpg"" /> <meta property=""og:image:type"" content=""image/jpeg"" /> <meta property=""og:image:width"" content=""1200"" /> <meta property=""og:image:height"" content=""630"" /> <meta property=""og:image:alt"" content=""About Rubinox Metal and Alloys | Industrial Metal Supplier in India"" /> <meta name=""twitter:card"" content=""summary_large_image"" /> <meta name=""twitter:site"" content=""@rubinoxmetal"" /> <meta name=""twitter:title"" content=""About Rubinox Metal and Alloys | Industrial Metal Supplier in India"" /> <meta name=""twitter:description"" content=""Learn about Rubinox Metal and Alloys, a Mumbai-based stockist, supplier, importer, exporter and project supplier for stainless steel, nickel alloys and industrial metals."" /> <meta name=""twitter:image"" content=""https://rubinoxmetal.com/assets/rubinox-social-preview-2026.jpg"" /> <meta name=""twitter:image:alt"" content=""About Rubinox Metal and Alloys | Industrial Metal Supplier in India"" /> <meta name=""geo.region"" content=""IN-MH"" /> <meta name=""geo.placename"" content=""Mumbai"" /> <!-- Google Analytics --> <script async src=""https://www.googletagmanager.com/gtag/js?id=G-JT5X5L5H07",,root,yes,yes
blog.html,https://rubinoxmetal.com/blog.html,Rubinox Metal Buyer Knowledge Hub,Rubinox Knowledge Hub | Metal Buyer Guides,"Rubinox Metal and Alloys Knowledge Hub with buyer guides for stainless steel, duplex, nickel alloys, titanium, SMO 254, aluminium, RFQ documentation and export enquiries.",https://rubinoxmetal.com/blog.html,root,yes,yes
blog/aluminium-6061-6063-7075-guide.html,https://rubinoxmetal.com/blog/aluminium-6061-6063-7075-guide.html,"Aluminium 6061, 6063 and 7075: Buyer Comparison Guide",Aluminium 6061 vs 6063 vs 7075 Guide | Rubinox,"Compare aluminium 6061, 6063 and 7075 for automotive, fabrication, aerospace or precision and structural RFQs with buyer checklist guidance.",https://rubinoxmetal.com/blog/aluminium-6061-6063-7075-guide.html,blog,yes,yes
blog/aluminium-vs-stainless-steel.html,https://rubinoxmetal.com/blog/aluminium-vs-stainless-steel.html,Aluminium vs Stainless Steel: Procurement Comparison Guide,Aluminium vs Stainless Steel: Procurement Comparison Guide | Rubinox,"Compare aluminium and stainless steel for weight, corrosion, fabrication, machining and industrial RFQ preparation.",https://rubinoxmetal.com/blog/aluminium-vs-stainless-steel.html,blog,yes,yes
blog/brass-c260-vs-c360.html,https://rubinoxmetal.com/blog/brass-c260-vs-c360.html,Brass C260 vs C360: Buyer Comparison Guide,Brass C260 vs C360: Buyer Comparison Guide | Rubinox,"Compare Brass C260 and C360 for sheet, plate, bar, machining, fabrication and industrial RFQs.",https://rubinoxmetal.com/blog/brass-c260-vs-c360.html,blog,yes,yes
blog/carbon-steel-vs-mild-steel.html,https://rubinoxmetal.com/blog/carbon-steel-vs-mild-steel.html,Carbon Steel vs Mild Steel: Industrial Buyer Guide,Carbon Steel vs Mild Steel: Industrial Buyer Guide | Rubinox,"Compare carbon steel and mild steel for plates, bars, structural work, fabrication and project RFQs.",https://rubinoxmetal.com/blog/carbon-steel-vs-mild-steel.html,blog,yes,yes
blog/copper-brass-phosphor-bronze-guide.html,https://rubinoxmetal.com/blog/copper-brass-phosphor-bronze-guide.html,"Copper, Brass and Phosphor Bronze: Industrial Buyer Guide",Copper Brass Phosphor Bronze Guide | Rubinox,"Compare copper, brass and phosphor bronze for electrical, machining, wear, spring, connector, marine and engineering RFQs.",https://rubinoxmetal.com/blog/copper-brass-phosphor-bronze-guide.html,blog,yes,yes
blog/copper-c101-vs-c110-vs-c122.html,https://rubinoxmetal.com/blog/copper-c101-vs-c110-vs-c122.html,Copper C101 vs C110 vs C122: Buyer Comparison Guide,Copper C101 vs C110 vs C122: Buyer Comparison Guide | Rubinox,"Compare copper C101, C110 and C122 for electrical, heat exchanger, fabrication and industrial RFQs.",https://rubinoxmetal.com/blog/copper-c101-vs-c110-vs-c122.html,blog,yes,yes
blog/duplex-2205-vs-super-duplex-2507.html,https://rubinoxmetal.com/blog/duplex-2205-vs-super-duplex-2507.html,Duplex 2205 vs Super Duplex 2507: Which Grade Should Buyers Review?,Duplex 2205 vs Super Duplex 2507 Guide | Rubinox,"Compare Duplex 2205 and Super Duplex 2507 for chloride, marine, desalination, offshore and chemical RFQs.",https://rubinoxmetal.com/blog/duplex-2205-vs-super-duplex-2507.html,blog,yes,yes
blog/duplex-stainless-steel-for-chemical-processing.html,https://rubinoxmetal.com/blog/duplex-stainless-steel-for-chemical-processing.html,Duplex Stainless Steel for Chemical Processing RFQs,Duplex Stainless Steel for Chemical Processing RFQs | Rubinox,"Buyer guide for reviewing Duplex 2205, Super Duplex 2507 and related grades for chemical processing RFQs.",https://rubinoxmetal.com/blog/duplex-stainless-steel-for-chemical-processing.html,blog,yes,yes
blog/export-metal-rfq-from-india.html,https://rubinoxmetal.com/blog/export-metal-rfq-from-india.html,Export Metal RFQ from India: What Overseas Buyers Should Share,Export Metal RFQ from India Guide | Rubinox,"Export metal RFQ guide for overseas buyers covering packing, MTC, destination country, port, documentation assistance and procurement enquiry details.",https://rubinoxmetal.com/blog/export-metal-rfq-from-india.html,blog,yes,yes
blog/hastelloy-c276-vs-c22.html,https://rubinoxmetal.com/blog/hastelloy-c276-vs-c22.html,Hastelloy C276 vs C22: Corrosion Alloy Buyer Guide,Hastelloy C276 vs C22: Corrosion Alloy Buyer Guide | Rubinox,"Review Hastelloy C276 and C22 for chemical processing, corrosion-resistant equipment and RFQ preparation.",https://rubinoxmetal.com/blog/hastelloy-c276-vs-c22.html,blog,yes,yes
